ArX_C_NMR,ArX_C_isotropic,ArX_C_Mulliken,ArX_C_area,ArX_R_isotropic,ArX_R_Mulliken,ArX_R_area,ArX_bond_order,ArX_bond_length,ArX_E_HOMO,ArX_E_LUMO,ArX_electroneg,ArX_hardness,ArX_dipole,ArB(OR)2_C_NMR,ArB(OR)2_C_isotropic,ArB(OR)2_C_Mulliken,ArB(OR)2_C_area,ArB(OR)2_B_isotropic,ArB(OR)2_B_Mulliken,ArB(OR)2_B_area,ArB(OR)2_bond_order,ArB(OR)2_bond_length,ArB(OR)2_HOMO,ArB(OR)2_LUMO,ArB(OR)2_electroneg,Ar-B(OR)2_hardness,Ar-B(OR)2_dipole,catalyst_Pd_charge,catalyst_Pd_expoarea,catalyst_P_charge,catalyst_P_expoarea,catalyst_HOMO,catalyst_LUMO,catalyst_dipole,catalyst_area,catalyst_PSA,catalyst_volume,catalyst_ovality,catalyst_weight,catalyst_H,tres(s),T,Loading,Scheme,catalyst,Yield
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1627,6.381,0.7376,4.045,-0.2096,-0.0477,5.883,821.71,60.841,827.67,1.93,846.466,-2935.92,600,110,2.509,1c-2a,P1_L1,68.6
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1643,6.386,0.7425,3.977,-0.2053,-0.0425,8.079,719.04,73.821,718.01,1.85,780.275,-2811.34,189.7,110,2.513,1c-2a,P1_L2,52.9
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.0674,6.074,0.6385,4.748,-0.2102,-0.0517,6.246,564.26,60.009,554.82,1.73,632.029,-2344.31,189.7,110,1.127,1c-2a,P1_L6,7.4
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1743,6.63,0.753,4.802,-0.2116,-0.0544,6.322,521.98,59.804,519.49,1.67,572.059,-2122.78,600,110,2.499,1c-2a,P1_L7,75
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1777,6.411,0.7531,4.098,-0.2043,-0.0424,8.279,791.78,71.556,791.81,1.91,836.383,-2968.49,189.7,110,2.489,1c-2a,P1_L3,53.8
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1623,6.265,0.7969,4.409,-0.2112,-0.0468,6.253,600.47,61.216,594.66,1.76,650.173,-2354.97,600,110,2.512,1c-2a,P1_L5,47.6
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.2405,6.225,0.7389,4.155,-0.2097,-0.0469,4.904,767.12,18.32,781.41,1.87,786.821,-2732.47,600,110,1.131,1c-2a,P2_L1,17
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.2334,6.945,0.64,6.557,-0.1904,-0.0524,10.05,847.47,62.493,877.47,1.91,948.369,-3570.99,600,30,0.512,1c-2a,P1_L4,0.6
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1623,6.265,0.7969,4.409,-0.2112,-0.0468,6.253,600.47,61.216,594.66,1.76,650.173,-2354.97,600,30,0.508,1c-2a,P1_L5,0.6
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1627,6.381,0.7376,4.045,-0.2096,-0.0477,5.883,821.71,60.841,827.67,1.93,846.466,-2935.92,600,30,0.513,1c-2a,P1_L1,0.6
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.2405,6.225,0.7389,4.155,-0.2097,-0.0469,4.904,767.12,18.32,781.41,1.87,786.821,-2732.47,600,30,0.496,1c-2a,P2_L1,0.6
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1643,6.386,0.7425,3.977,-0.2053,-0.0425,8.079,719.04,73.821,718.01,1.85,780.275,-2811.34,60,110,2.513,1c-2a,P1_L2,41.9
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1777,6.411,0.7531,4.098,-0.2043,-0.0424,8.279,791.78,71.556,791.81,1.91,836.383,-2968.49,60,110,2.489,1c-2a,P1_L3,77.5
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.0674,6.074,0.6385,4.748,-0.2102,-0.0517,6.246,564.26,60.009,554.82,1.73,632.029,-2344.31,60,110,2.515,1c-2a,P1_L6,8.5
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1743,6.63,0.753,4.802,-0.2116,-0.0544,6.322,521.98,59.804,519.49,1.67,572.059,-2122.78,60,110,2.499,1c-2a,P1_L7,85.4
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.2334,6.945,0.64,6.557,-0.1904,-0.0524,10.05,847.47,62.493,877.47,1.91,948.369,-3570.99,60,67.5,2.508,1c-2a,P1_L4,33.4
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1623,6.265,0.7969,4.409,-0.2112,-0.0468,6.253,600.47,61.216,594.66,1.76,650.173,-2354.97,60,66.7,2.512,1c-2a,P1_L5,0.6
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1777,6.411,0.7531,4.098,-0.2043,-0.0424,8.279,791.78,71.556,791.81,1.91,836.383,-2968.49,60,67,2.489,1c-2a,P1_L3,24.4
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1743,6.63,0.753,4.802,-0.2116,-0.0544,6.322,521.98,59.804,519.49,1.67,572.059,-2122.78,60,66.8,2.499,1c-2a,P1_L7,3.6
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1627,6.381,0.7376,4.045,-0.2096,-0.0477,5.883,821.71,60.841,827.67,1.93,846.466,-2935.92,60,66.3,2.509,1c-2a,P1_L1,12.4
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.2405,6.225,0.7389,4.155,-0.2097,-0.0469,4.904,767.12,18.32,781.41,1.87,786.821,-2732.47,60,67,2.509,1c-2a,P2_L1,11.2
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1743,6.63,0.753,4.802,-0.2116,-0.0544,6.322,521.98,59.804,519.49,1.67,572.059,-2122.78,155.6,110,2.499,1c-2a,P1_L7,81.3
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1623,6.265,0.7969,4.409,-0.2112,-0.0468,6.253,600.47,61.216,594.66,1.76,650.173,-2354.97,109.3,110,2.482,1c-2a,P1_L5,39.1
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.2405,6.225,0.7389,4.155,-0.2097,-0.0469,4.904,767.12,18.32,781.41,1.87,786.821,-2732.47,104.5,110,2.509,1c-2a,P2_L1,28.4
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1627,6.381,0.7376,4.045,-0.2096,-0.0477,5.883,821.71,60.841,827.67,1.93,846.466,-2935.92,109.2,110,2.482,1c-2a,P1_L1,74.1
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1777,6.411,0.7531,4.098,-0.2043,-0.0424,8.279,791.78,71.556,791.81,1.91,836.383,-2968.49,166.5,110,2.489,1c-2a,P1_L3,60.9
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.2334,6.945,0.64,6.557,-0.1904,-0.0524,10.05,847.47,62.493,877.47,1.91,948.369,-3570.99,60,110,0.512,1c-2a,P1_L4,10.3
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1743,6.63,0.753,4.802,-0.2116,-0.0544,6.322,521.98,59.804,519.49,1.67,572.059,-2122.78,60,110,0.506,1c-2a,P1_L7,0.6
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1777,6.411,0.7531,4.098,-0.2043,-0.0424,8.279,791.78,71.556,791.81,1.91,836.383,-2968.49,60,110,0.498,1c-2a,P1_L3,21.7
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1627,6.381,0.7376,4.045,-0.2096,-0.0477,5.883,821.71,60.841,827.67,1.93,846.466,-2935.92,60,110,0.513,1c-2a,P1_L1,20.5
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1777,6.411,0.7531,4.098,-0.2043,-0.0424,8.279,791.78,71.556,791.81,1.91,836.383,-2968.49,600,110,0.968,1c-2a,P1_L3,23.7
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1627,6.381,0.7376,4.045,-0.2096,-0.0477,5.883,821.71,60.841,827.67,1.93,846.466,-2935.92,600,110,0.971,1c-2a,P1_L1,41.4
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1623,6.265,0.7969,4.409,-0.2112,-0.0468,6.253,600.47,61.216,594.66,1.76,650.173,-2354.97,600,110,0.957,1c-2a,P1_L5,38.8
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.2334,6.945,0.64,6.557,-0.1904,-0.0524,10.05,847.47,62.493,877.47,1.91,948.369,-3570.99,600,110,1.268,1c-2a,P1_L4,91.8
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1743,6.63,0.753,4.802,-0.2116,-0.0544,6.322,521.98,59.804,519.49,1.67,572.059,-2122.78,600,110,0.814,1c-2a,P1_L7,38
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.2334,6.945,0.64,6.557,-0.1904,-0.0524,10.05,847.47,62.493,877.47,1.91,948.369,-3570.99,161.7,110,2.104,1c-2a,P1_L4,84
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1627,6.381,0.7376,4.045,-0.2096,-0.0477,5.883,821.71,60.841,827.67,1.93,846.466,-2935.92,146.1,110,2.509,1c-2a,P1_L1,69.6
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1777,6.411,0.7531,4.098,-0.2043,-0.0424,8.279,791.78,71.556,791.81,1.91,836.383,-2968.49,185.5,110,2.489,1c-2a,P1_L3,62.8
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1743,6.63,0.753,4.802,-0.2116,-0.0544,6.322,521.98,59.804,519.49,1.67,572.059,-2122.78,176.5,110,2.499,1c-2a,P1_L7,68.6
130.22,59.404,-0.019,7.382,2148.335,-0.066,32.783,0.96,1.911,-0.2384,-0.0633,0.1509,0.0875,2.43,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1627,6.381,0.7376,4.045,-0.2096,-0.0477,5.883,821.71,60.841,827.67,1.93,846.466,-2935.92,60,110,2.266,1c-2a,P1_L1,83.9
