ArX_C_NMR,ArX_C_isotropic,ArX_C_Mulliken,ArX_C_area,ArX_R_isotropic,ArX_R_Mulliken,ArX_R_area,ArX_bond_order,ArX_bond_length,ArX_E_HOMO,ArX_E_LUMO,ArX_electroneg,ArX_hardness,ArX_dipole,ArB(OR)2_C_NMR,ArB(OR)2_C_isotropic,ArB(OR)2_C_Mulliken,ArB(OR)2_C_area,ArB(OR)2_B_isotropic,ArB(OR)2_B_Mulliken,ArB(OR)2_B_area,ArB(OR)2_bond_order,ArB(OR)2_bond_length,ArB(OR)2_HOMO,ArB(OR)2_LUMO,ArB(OR)2_electroneg,Ar-B(OR)2_hardness,Ar-B(OR)2_dipole,catalyst_Pd_charge,catalyst_Pd_expoarea,catalyst_P_charge,catalyst_P_expoarea,catalyst_HOMO,catalyst_LUMO,catalyst_dipole,catalyst_area,catalyst_PSA,catalyst_volume,catalyst_ovality,catalyst_weight,catalyst_H,tres(s),T,Loading,catalyst,Scheme,Yield
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.2405,6.225,0.7389,4.155,-0.2097,-0.0469,4.904,767.12,18.32,781.41,1.87,786.821,-2732.47,600,96.4,2.5,P2_L1,1a-2a,6.1
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1643,6.386,0.7425,3.977,-0.2053,-0.0425,8.079,719.04,73.821,718.01,1.85,780.275,-2811.34,600,87.6,2.5,P1_L2,1a-2a,25.2
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1777,6.411,0.7531,4.098,-0.2043,-0.0424,8.279,791.78,71.556,791.81,1.91,836.383,-2968.49,600,85.9,2.5,P1_L3,1a-2a,29
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.2334,6.945,0.64,6.557,-0.1904,-0.0524,10.05,847.47,62.493,877.47,1.91,948.369,-3570.99,600,90.9,2.5,P1_L4,1a-2a,2.7
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1623,6.265,0.7969,4.409,-0.2112,-0.0468,6.253,600.47,61.216,594.66,1.76,650.173,-2354.97,600,110,2.5,P1_L5,1a-2a,39.2
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.0674,6.074,0.6385,4.748,-0.2102,-0.0517,6.246,564.26,60.009,554.82,1.73,632.029,-2344.31,600,36.4,2.5,P1_L6,1a-2a,1.2
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1743,6.63,0.753,4.802,-0.2116,-0.0544,6.322,521.98,59.804,519.49,1.67,572.059,-2122.78,600,110,2.5,P1_L7,1a-2a,20.7
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,99.5,90.125,-0.054,5.616,83.38,0.428,11.951,1.03,1.538,-0.2441,-0.008,0.1261,0.118,5.07,-0.1623,6.265,0.7969,4.409,-0.2112,-0.0468,6.253,600.47,61.216,594.66,1.76,650.173,-2354.97,600,110,2.1,P1_L5,1a-2a,35
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,147.29,42.332,0.237,7.751,87.918,0.366,16.948,1,1.555,-0.2227,-0.0376,0.1302,0.0926,0.7,-0.1627,6.381,0.7376,4.045,-0.2096,-0.0477,5.883,821.71,60.841,827.67,1.93,846.466,-2935.92,198.1,110,1.697,P1_L1,1a-2b,97.6
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,147.29,42.332,0.237,7.751,87.918,0.366,16.948,1,1.555,-0.2227,-0.0376,0.1302,0.0926,0.7,-0.2405,6.225,0.7389,4.155,-0.2097,-0.0469,4.904,767.12,18.32,781.41,1.87,786.821,-2732.47,186.2,110,1.909,P2_L1,1a-2b,78.1
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,147.29,42.332,0.237,7.751,87.918,0.366,16.948,1,1.555,-0.2227,-0.0376,0.1302,0.0926,0.7,-0.1643,6.386,0.7425,3.977,-0.2053,-0.0425,8.079,719.04,73.821,718.01,1.85,780.275,-2811.34,60,110,1.853,P1_L2,1a-2b,81.6
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,147.29,42.332,0.237,7.751,87.918,0.366,16.948,1,1.555,-0.2227,-0.0376,0.1302,0.0926,0.7,-0.1777,6.411,0.7531,4.098,-0.2043,-0.0424,8.279,791.78,71.556,791.81,1.91,836.383,-2968.49,198.1,110,1.697,P1_L3,1a-2b,87.7
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,147.29,42.332,0.237,7.751,87.918,0.366,16.948,1,1.555,-0.2227,-0.0376,0.1302,0.0926,0.7,-0.2334,6.945,0.64,6.557,-0.1904,-0.0524,10.05,847.47,62.493,877.47,1.91,948.369,-3570.99,600,89.1,2.33,P1_L4,1a-2b,3.5
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,147.29,42.332,0.237,7.751,87.918,0.366,16.948,1,1.555,-0.2227,-0.0376,0.1302,0.0926,0.7,-0.1623,6.265,0.7969,4.409,-0.2112,-0.0468,6.253,600.47,61.216,594.66,1.76,650.173,-2354.97,600,86.7,2.383,P1_L5,1a-2b,5.8
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,147.29,42.332,0.237,7.751,87.918,0.366,16.948,1,1.555,-0.2227,-0.0376,0.1302,0.0926,0.7,-0.0674,6.074,0.6385,4.748,-0.2102,-0.0517,6.246,564.26,60.009,554.82,1.73,632.029,-2344.31,600,30,2.5,P1_L6,1a-2b,28.7
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,147.29,42.332,0.237,7.751,87.918,0.366,16.948,1,1.555,-0.2227,-0.0376,0.1302,0.0926,0.7,-0.1743,6.63,0.753,4.802,-0.2116,-0.0544,6.322,521.98,59.804,519.49,1.67,572.059,-2122.78,165.6,110,2.009,P1_L7,1a-2b,40.3
134.54,55.091,-0.079,7.639,744.845,-0.009,27.803,1.01,1.755,-0.2614,-0.038,0.1497,0.1117,2.09,147.29,42.332,0.237,7.751,87.918,0.366,16.948,1,1.555,-0.2227,-0.0376,0.1302,0.0926,0.7,-0.1627,6.381,0.7376,4.045,-0.2096,-0.0477,5.883,821.71,60.841,827.67,1.93,846.466,-2935.92,234,110,1.2,P1_L1,1a-2b,88
154.46,35.169,0.112,10.461,643.793,-0.011,27.981,1.02,1.766,-0.2615,-0.0376,0.1495,0.112,3.52,124.49,65.132,0.211,7.426,88.474,0.367,16.271,0.99,1.569,-0.2209,-0.0322,0.1265,0.0944,4.27,-0.1627,6.381,0.7376,4.045,-0.2096,-0.0477,5.883,821.71,60.841,827.67,1.93,846.466,-2935.92,212.5,85.1,2.401,P1_L1,1b-2c,99.7
154.46,35.169,0.112,10.461,643.793,-0.011,27.981,1.02,1.766,-0.2615,-0.0376,0.1495,0.112,3.52,124.49,65.132,0.211,7.426,88.474,0.367,16.271,0.99,1.569,-0.2209,-0.0322,0.1265,0.0944,4.27,-0.2405,6.225,0.7389,4.155,-0.2097,-0.0469,4.904,767.12,18.32,781.41,1.87,786.821,-2732.47,366.8,88.2,2.088,P2_L1,1b-2c,88.1
154.46,35.169,0.112,10.461,643.793,-0.011,27.981,1.02,1.766,-0.2615,-0.0376,0.1495,0.112,3.52,124.49,65.132,0.211,7.426,88.474,0.367,16.271,0.99,1.569,-0.2209,-0.0322,0.1265,0.0944,4.27,-0.1643,6.386,0.7425,3.977,-0.2053,-0.0425,8.079,719.04,73.821,718.01,1.85,780.275,-2811.34,307.5,78,2.5,P1_L2,1b-2c,95.8
154.46,35.169,0.112,10.461,643.793,-0.011,27.981,1.02,1.766,-0.2615,-0.0376,0.1495,0.112,3.52,124.49,65.132,0.211,7.426,88.474,0.367,16.271,0.99,1.569,-0.2209,-0.0322,0.1265,0.0944,4.27,-0.1777,6.411,0.7531,4.098,-0.2043,-0.0424,8.279,791.78,71.556,791.81,1.91,836.383,-2968.49,235.8,92.1,1.983,P1_L3,1b-2c,90.4
154.46,35.169,0.112,10.461,643.793,-0.011,27.981,1.02,1.766,-0.2615,-0.0376,0.1495,0.112,3.52,124.49,65.132,0.211,7.426,88.474,0.367,16.271,0.99,1.569,-0.2209,-0.0322,0.1265,0.0944,4.27,-0.2334,6.945,0.64,6.557,-0.1904,-0.0524,10.05,847.47,62.493,877.47,1.91,948.369,-3570.99,600,79.6,2.5,P1_L4,1b-2c,72.6
154.46,35.169,0.112,10.461,643.793,-0.011,27.981,1.02,1.766,-0.2615,-0.0376,0.1495,0.112,3.52,124.49,65.132,0.211,7.426,88.474,0.367,16.271,0.99,1.569,-0.2209,-0.0322,0.1265,0.0944,4.27,-0.1623,6.265,0.7969,4.409,-0.2112,-0.0468,6.253,600.47,61.216,594.66,1.76,650.173,-2354.97,91.6,110,1.707,P1_L5,1b-2c,54.1
154.46,35.169,0.112,10.461,643.793,-0.011,27.981,1.02,1.766,-0.2615,-0.0376,0.1495,0.112,3.52,124.49,65.132,0.211,7.426,88.474,0.367,16.271,0.99,1.569,-0.2209,-0.0322,0.1265,0.0944,4.27,-0.0674,6.074,0.6385,4.748,-0.2102,-0.0517,6.246,564.26,60.009,554.82,1.73,632.029,-2344.31,100.9,110,1.79,P1_L6,1b-2c,33.7
154.46,35.169,0.112,10.461,643.793,-0.011,27.981,1.02,1.766,-0.2615,-0.0376,0.1495,0.112,3.52,124.49,65.132,0.211,7.426,88.474,0.367,16.271,0.99,1.569,-0.2209,-0.0322,0.1265,0.0944,4.27,-0.1743,6.63,0.753,4.802,-0.2116,-0.0544,6.322,521.98,59.804,519.49,1.67,572.059,-2122.78,143.4,110,1.76,P1_L7,1b-2c,27.4
154.46,35.169,0.112,10.461,643.793,-0.011,27.981,1.02,1.766,-0.2615,-0.0376,0.1495,0.112,3.52,124.49,65.132,0.211,7.426,88.474,0.367,16.271,0.99,1.569,-0.2209,-0.0322,0.1265,0.0944,4.27,-0.1627,6.381,0.7376,4.045,-0.2096,-0.0477,5.883,821.71,60.841,827.67,1.93,846.466,-2935.92,282,97,1,P1_L1,1b-2c,90
